2024-12-26 21:55:27,620 | INFO     | 71351 | MainThread | addMemory.py:90 | setup_logging | Starting new logging session in directory: logs/run_20241226_215527
2024-12-26 21:55:27,620 | INFO     | 71351 | MainThread | addMemory.py:270 | <module> | Initializing memory system...
2024-12-26 21:55:27,980 | INFO     | 71351 | MainThread | _client.py:1026 | _send_single_request | HTTP Request: GET https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections "HTTP/1.1 200 OK"
2024-12-26 21:55:29,068 | INFO     | 71351 | MainThread | addMemory.py:273 | <module> | Memory system initialized.
2024-12-26 21:55:29,069 | INFO     | 71351 | MainThread | addMemory.py:291 | <module> | Starting test memory addition process
2024-12-26 21:55:30,924 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-26 21:55:31,146 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:31,316 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points/search "HTTP/1.1 200 OK"
2024-12-26 21:55:31,470 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-26 21:55:31,514 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:31,616 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points/search "HTTP/1.1 200 OK"
2024-12-26 21:55:31,872 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:31,971 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points/search "HTTP/1.1 200 OK"
2024-12-26 21:55:32,111 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:32,213 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points/search "HTTP/1.1 200 OK"
